time,dmm_a,lag_ms,rms_lsb,gain,flag,current_ma,status,addr,mean,pp,extra,raw
2026-08-01T10:04:52.536,1.045220,252,617.11,1,OK,1308,NORMAL,6,1277,1902,"METER_TEST,METER_CAL","METER_TEST,ADDR=6,CURRENT_MA=1308,STATUS=NORMAL | METER_CAL,ADDR=6,RMS=617.11,GAIN=1,FLAG=OK,MEAN=1277,PP=1902"
2026-08-01T10:04:54.006,0.601294,252,254.32,1,OK,534,NORMAL,6,557,841,"METER_TEST,METER_CAL","METER_TEST,ADDR=6,CURRENT_MA=534,STATUS=NORMAL | METER_CAL,ADDR=6,RMS=254.32,GAIN=1,FLAG=OK,MEAN=557,PP=841"
2026-08-01T10:04:58.206,0.589676,252,253.14,1,OK,532,NORMAL,6,555,824,"R_TEST,METER_CAL","R_TEST,ADDR=6,CURRENT_MA=532,STATUS=NORMAL | METER_CAL,ADDR=6,RMS=253.14,GAIN=1,FLAG=OK,MEAN=555,PP=824"
2026-08-01T10:05:05.469,0.482509,252,225.09,1,OK,479,NORMAL,6,493,747,"METER_CAL,METER_TEST","METER_CAL,ADDR=6,RMS=225.09,GAIN=1,FLAG=OK,MEAN=493,PP=747 | METER_TEST,ADDR=6,CURRENT_MA=479,STATUS=NORMAL"
2026-08-01T10:05:06.939,0.479557,251,193.65,1,BAD_INPUT,,,6,419,637,METER_CAL,"METER_CAL,ADDR=6,RMS=193.65,GAIN=1,FLAG=BAD_INPUT,MEAN=419,PP=637"
2026-08-01T10:05:14.168,0.396784,251,173.21,1,OK,346,NORMAL,6,374,571,"METER_CAL,METER_TEST","METER_CAL,ADDR=6,RMS=173.21,GAIN=1,FLAG=OK,MEAN=374,PP=571 | METER_TEST,ADDR=6,CURRENT_MA=346,STATUS=NORMAL"
2026-08-01T10:05:15.637,0.394350,252,161.73,1,BAD_INPUT,,,6,341,506,METER_CAL,"METER_CAL,ADDR=6,RMS=161.73,GAIN=1,FLAG=BAD_INPUT,MEAN=341,PP=506"
2026-08-01T10:05:22.868,0.393907,252,161.75,1,OK,354,NORMAL,6,342,501,"METER_CAL,METER_TEST","METER_CAL,ADDR=6,RMS=161.75,GAIN=1,FLAG=OK,MEAN=342,PP=501 | METER_TEST,ADDR=6,CURRENT_MA=354,STATUS=NORMAL"
2026-08-01T10:14:16.113,0.294136,5,110.69,1,OK,253,NORMAL,6,235,351,"METER_TEST,METER_CAL,IMHERE","METER_TEST,ADDR=6,CURRENT_MA=253,STATUS=NORMAL | METER_CAL,ADDR=6,RMS=110.69,GAIN=1,FLAG=OK,MEAN=235,PP=351 | IMHERE,ADDR=6"
2026-08-01T10:14:16.716,0.294124,222,111.04,1,OK,254,NORMAL,6,234,347,"METER_TEST,METER_CAL","METER_TEST,ADDR=6,CURRENT_MA=254,STATUS=NORMAL | METER_CAL,ADDR=6,RMS=111.04,GAIN=1,FLAG=OK,MEAN=234,PP=347"
